column_name,is_updated_column,possible_original_name,original_column_exists
Gp3_AMR_AF_new,TRUE,Gp3_AMR_AF,FALSE
Gp3_EAS_AC_new,TRUE,Gp3_EAS_AC,FALSE
Gp3_EAS_AF_new,TRUE,Gp3_EAS_AF,FALSE
Gp3_EUR_AC_new,TRUE,Gp3_EUR_AC,FALSE
Gp3_EUR_AF_new,TRUE,Gp3_EUR_AF,FALSE
Gp3_SAS_AC_new,TRUE,Gp3_SAS_AC,FALSE
Gp3_SAS_AF_new,TRUE,Gp3_SAS_AF,FALSE
HGNC_ID_new,TRUE,HGNC_ID,FALSE
HGVSc_new,TRUE,HGVSc,FALSE
HGVSp_new,TRUE,HGVSp,FALSE
HIGH_INF_POS_new,TRUE,HIGH_INF_POS,FALSE
HIPred_new,TRUE,HIPred,FALSE
HIPred_score_new,TRUE,HIPred_score,FALSE
HPA_consensus_adipose_tissue_new,TRUE,HPA_consensus_adipose_tissue,FALSE
HPA_consensus_adrenal_gland_new,TRUE,HPA_consensus_adrenal_gland,FALSE
HPA_consensus_amygdala_new,TRUE,HPA_consensus_amygdala,FALSE
HPA_consensus_appendix_new,TRUE,HPA_consensus_appendix,FALSE
HPA_consensus_basal_ganglia_new,TRUE,HPA_consensus_basal_ganglia,FALSE
HPA_consensus_bone_marrow_new,TRUE,HPA_consensus_bone_marrow,FALSE
HPA_consensus_breast_new,TRUE,HPA_consensus_breast,FALSE
HPA_consensus_cerebellum_new,TRUE,HPA_consensus_cerebellum,FALSE
HPA_consensus_cerebral_cortex_new,TRUE,HPA_consensus_cerebral_cortex,FALSE
HPA_consensus_cervix_new,TRUE,HPA_consensus_cervix,FALSE
HPA_consensus_choroid_plexus_new,TRUE,HPA_consensus_choroid_plexus,FALSE
HPA_consensus_colon_new,TRUE,HPA_consensus_colon,FALSE
HPA_consensus_duodenum_new,TRUE,HPA_consensus_duodenum,FALSE
HPA_consensus_endometrium_new,TRUE,HPA_consensus_endometrium,FALSE
HPA_consensus_epididymis_new,TRUE,HPA_consensus_epididymis,FALSE
HPA_consensus_esophagus_new,TRUE,HPA_consensus_esophagus,FALSE
HPA_consensus_fallopian_tube_new,TRUE,HPA_consensus_fallopian_tube,FALSE
HPA_consensus_gallbladder_new,TRUE,HPA_consensus_gallbladder,FALSE
HPA_consensus_heart_muscle_new,TRUE,HPA_consensus_heart_muscle,FALSE
HPA_consensus_highly_expressed_new,TRUE,HPA_consensus_highly_expressed,FALSE
HPA_consensus_hippocampal_formation_new,TRUE,HPA_consensus_hippocampal_formation,FALSE
HPA_consensus_hypothalamus_new,TRUE,HPA_consensus_hypothalamus,FALSE
HPA_consensus_kidney_new,TRUE,HPA_consensus_kidney,FALSE
HPA_consensus_liver_new,TRUE,HPA_consensus_liver,FALSE
HPA_consensus_lung_new,TRUE,HPA_consensus_lung,FALSE
HPA_consensus_lymph_node_new,TRUE,HPA_consensus_lymph_node,FALSE
HPA_consensus_midbrain_new,TRUE,HPA_consensus_midbrain,FALSE
HPA_consensus_ovary_new,TRUE,HPA_consensus_ovary,FALSE
HPA_consensus_pancreas_new,TRUE,HPA_consensus_pancreas,FALSE
HPA_consensus_parathyroid_gland_new,TRUE,HPA_consensus_parathyroid_gland,FALSE
HPA_consensus_pituitary_gland_new,TRUE,HPA_consensus_pituitary_gland,FALSE
HPA_consensus_placenta_new,TRUE,HPA_consensus_placenta,FALSE
HPA_consensus_prostate_new,TRUE,HPA_consensus_prostate,FALSE
HPA_consensus_rectum_new,TRUE,HPA_consensus_rectum,FALSE
HPA_consensus_retina_new,TRUE,HPA_consensus_retina,FALSE
HPA_consensus_salivary_gland_new,TRUE,HPA_consensus_salivary_gland,FALSE
HPA_consensus_seminal_vesicle_new,TRUE,HPA_consensus_seminal_vesicle,FALSE
HPA_consensus_skeletal_muscle_new,TRUE,HPA_consensus_skeletal_muscle,FALSE
HPA_consensus_skin_new,TRUE,HPA_consensus_skin,FALSE
HPA_consensus_small_intestine_new,TRUE,HPA_consensus_small_intestine,FALSE
HPA_consensus_smooth_muscle_new,TRUE,HPA_consensus_smooth_muscle,FALSE
HPA_consensus_spinal_cord_new,TRUE,HPA_consensus_spinal_cord,FALSE
HPA_consensus_spleen_new,TRUE,HPA_consensus_spleen,FALSE
HPA_consensus_stomach_new,TRUE,HPA_consensus_stomach,FALSE
HPA_consensus_testis_new,TRUE,HPA_consensus_testis,FALSE
HPA_consensus_thymus_new,TRUE,HPA_consensus_thymus,FALSE
HPA_consensus_thyroid_gland_new,TRUE,HPA_consensus_thyroid_gland,FALSE
HPA_consensus_tongue_new,TRUE,HPA_consensus_tongue,FALSE
HPA_consensus_tonsil_new,TRUE,HPA_consensus_tonsil,FALSE
HPA_consensus_urinary_bladder_new,TRUE,HPA_consensus_urinary_bladder,FALSE
HPA_consensus_vagina_new,TRUE,HPA_consensus_vagina,FALSE
HPO_id_new,TRUE,HPO_id,FALSE
HPO_name_new,TRUE,HPO_name,FALSE
IMPACT_new,TRUE,IMPACT,FALSE
INTRON_new,TRUE,INTRON,FALSE
Interpro_domain_new,TRUE,Interpro_domain,FALSE
Known_rec_info_new,TRUE,Known_rec_info,FALSE
LIST_S2_pred_new,TRUE,LIST_S2_pred,FALSE
LIST_S2_rankscore_new,TRUE,LIST_S2_rankscore,FALSE
LIST_S2_score_new,TRUE,LIST_S2_score,FALSE
LoF_FDR_ExAC_new,TRUE,LoF_FDR_ExAC,FALSE
LoFtool_score_new,TRUE,LoFtool_score,FALSE
MANE_PLUS_CLINICAL_new,TRUE,MANE_PLUS_CLINICAL,FALSE
MANE_SELECT_new,TRUE,MANE_SELECT,FALSE
MANE_new,TRUE,MANE,FALSE
MGI_mouse_gene_new,TRUE,MGI_mouse_gene,FALSE
MGI_mouse_phenotype_new,TRUE,MGI_mouse_phenotype,FALSE
MIM_disease_new,TRUE,MIM_disease,FALSE
MIM_id_new,TRUE,MIM_id,FALSE
MIM_phenotype_id_new,TRUE,MIM_phenotype_id,FALSE
MOTIF_NAME_new,TRUE,MOTIF_NAME,FALSE
MOTIF_POS_new,TRUE,MOTIF_POS,FALSE
MOTIF_SCORE_CHANGE_new,TRUE,MOTIF_SCORE_CHANGE,FALSE
MPC_rankscore_new,TRUE,MPC_rankscore,FALSE
MPC_score_new,TRUE,MPC_score,FALSE
MVP_rankscore_new,TRUE,MVP_rankscore,FALSE
MVP_score_new,TRUE,MVP_score,FALSE
MaxEntScan_alt_new,TRUE,MaxEntScan_alt,FALSE
MaxEntScan_ref_new,TRUE,MaxEntScan_ref,FALSE
MetaLR_pred_new,TRUE,MetaLR_pred,FALSE
MetaLR_rankscore_new,TRUE,MetaLR_rankscore,FALSE
MetaRNN_pred_new,TRUE,MetaRNN_pred,FALSE
MetaRNN_rankscore_new,TRUE,MetaRNN_rankscore,FALSE
MetaRNN_score_new,TRUE,MetaRNN_score,FALSE
