tool_category,tool,variant_group,total_variants_in_group,variants_with_tool_output,variants_without_tool_output,percent_with_tool_output,columns_present
Splicing predictor,SpliceAI,Missense,979,977,2,99.8,SpliceAI_pred_DS_AG_new; SpliceAI_pred_DS_AL_new; SpliceAI_pred_DS_DG_new; SpliceAI_pred_DS_DL_new; SpliceAI_pred_SYMBOL_new
Conservation score,GERP++,Missense,979,977,2,99.8,GERP++_RS
Conservation score,phyloP,Missense,979,977,2,99.8,phyloP100way_vertebrate; phyloP30way_mammalian; phyloP17way_primate_new
Conservation score,phastCons,Missense,979,977,2,99.8,phastCons30way_mammalian; phastCons17way_primate; phastCons17way_primate_new
Conservation score,SiPhy,Missense,979,977,2,99.8,SiPhy_29way_logOdds
Conservation score,fitCons,Missense,979,977,2,99.8,integrated_fitCons_score
Gene-level intolerance / LoF metric,LoFtool,Missense,979,977,2,99.8,LoFtool_score_new
Gene-level intolerance / LoF metric,HIPred,Missense,979,977,2,99.8,HIPred_score_new
Gene-level intolerance / LoF metric,GDI,Missense,979,977,2,99.8,GDI_new
Gene-level intolerance / LoF metric,GHIS,Missense,979,977,2,99.8,GHIS_new
Continuous deleteriousness / constraint score,PHACTboost,Missense,979,959,20,98,PHACTboost_score_new
Continuous deleteriousness / constraint score,MPC,Missense,979,801,178,81.8,MPC_score_new
Individual missense predictor,MutationAssessor,Missense,979,798,181,81.5,MutationAssessor_standalone_score; MutationAssessor_score_new; MutationAssessor_pred_new
Meta/ensemble predictor,LIST-S2,Missense,979,757,222,77.3,LIST-S2_score_seperated; LIST_S2_score_new; LIST_S2_pred_new
Modern/deep learning predictor,DEOGEN2,Missense,979,757,222,77.3,DEOGEN2_score_new; DEOGEN2_pred_new
Modern/deep learning predictor,AlphaMissense,Missense,979,757,222,77.3,am_class_new; am_pathogenicity_new
Continuous deleteriousness / constraint score,VARITY-R,Missense,979,757,222,77.3,VARITY_R_score_new
Continuous deleteriousness / constraint score,VARITY-ER,Missense,979,757,222,77.3,VARITY_ER_score_new
Continuous deleteriousness / constraint score,VARITY-R-LOO,Missense,979,757,222,77.3,VARITY_R_LOO_score_new
Continuous deleteriousness / constraint score,VARITY-ER-LOO,Missense,979,757,222,77.3,VARITY_ER_LOO_score_new
Modern/deep learning predictor,EVE,Missense,979,577,402,58.9,EVE_CLASS_new; EVE_SCORE_new
Individual missense predictor,LRT,Missense,979,401,578,41,LRT_score
Continuous deleteriousness / constraint score,gMVP,Missense,979,396,583,40.4,gMVP_score_new
Splicing predictor,MaxEntScan,Missense,979,34,945,3.5,MaxEntScan_diff; MaxEntScan_alt_new; MaxEntScan_diff_new; MaxEntScan_ref_new
Splicing predictor,ada_score,Missense,979,29,950,3,ada_score; ada_score_new
Splicing predictor,rf_score,Missense,979,29,950,3,rf_score; rf_score_new
Conservation score,Eigen-PC,Missense,979,0,979,0,None
Gene-level intolerance / LoF metric,Aloft,Missense,979,0,979,0,Aloft_pred_new; Aloft_Confidence_new
Continuous deleteriousness / constraint score,CADD,Non-coding/regulatory,143,135,8,94.4,CADD_PHRED; CADD_PHRED_new; CADD_RAW_new
Splicing predictor,SpliceAI,Non-coding/regulatory,143,61,82,42.7,SpliceAI_pred_DS_AG_new; SpliceAI_pred_DS_AL_new; SpliceAI_pred_DS_DG_new; SpliceAI_pred_DS_DL_new; SpliceAI_pred_SYMBOL_new
