threshold,threshold_full_precision,total_variants_evaluated,true_positive,true_negative,false_positive,false_negative,accuracy,sensitivity,specificity,balanced_accuracy,mcc
18.25,18.25,742,427,126,65,124,0.745,0.775,0.66,0.717,0.402
15.21,15.21,742,472,103,88,79,0.775,0.857,0.539,0.698,0.402
17.07,17.07,742,443,118,73,108,0.756,0.804,0.618,0.711,0.401
16.79,16.79,742,451,114,77,100,0.761,0.819,0.597,0.708,0.401
15.6,15.6,742,468,105,86,83,0.772,0.849,0.55,0.7,0.401
15.64,15.64,742,466,106,85,85,0.771,0.846,0.555,0.7,0.401
18.39,18.39,742,424,127,64,127,0.743,0.77,0.665,0.717,0.4
18.01,18.01,742,428,125,66,123,0.745,0.777,0.654,0.716,0.4
18.28,18.28,742,426,126,65,125,0.744,0.773,0.66,0.716,0.4
15.22,15.22,742,471,103,88,80,0.774,0.855,0.539,0.697,0.4
16.8,16.8,742,450,114,77,101,0.76,0.817,0.597,0.707,0.399
18.41,18.41,742,423,127,64,128,0.741,0.768,0.665,0.716,0.398
17.09,17.09,742,442,118,73,109,0.755,0.802,0.618,0.71,0.398
16.88,16.88,742,448,115,76,103,0.759,0.813,0.602,0.708,0.398
6.899,6.899,742,523,68,123,28,0.796,0.949,0.356,0.653,0.398
15.58,15.58,742,468,104,87,83,0.771,0.849,0.545,0.697,0.397
15.44,15.44,742,470,103,88,81,0.772,0.853,0.539,0.696,0.397
18.6,18.6,742,422,127,64,129,0.74,0.766,0.665,0.715,0.396
17.65,17.65,742,437,120,71,114,0.751,0.793,0.628,0.711,0.396
17.29,17.29,742,441,118,73,110,0.753,0.8,0.618,0.709,0.396
17.02,17.02,742,443,117,74,108,0.755,0.804,0.613,0.708,0.396
16.91,16.91,742,447,115,76,104,0.757,0.811,0.602,0.707,0.396
16.81,16.81,742,449,114,77,102,0.759,0.815,0.597,0.706,0.396
15.53,15.53,742,469,103,88,82,0.771,0.851,0.539,0.695,0.395
18.61,18.61,742,421,127,64,130,0.739,0.764,0.665,0.714,0.394
17.88,17.88,742,434,121,70,117,0.748,0.788,0.634,0.711,0.394
17.66,17.66,742,436,120,71,115,0.749,0.791,0.628,0.71,0.394
17.5,17.5,742,438,119,72,113,0.751,0.795,0.623,0.709,0.394
17.32,17.32,742,440,118,73,111,0.752,0.799,0.618,0.708,0.394
16.94,16.94,742,444,116,75,107,0.755,0.806,0.607,0.707,0.394
18.92,18.92,742,416,129,62,135,0.735,0.755,0.675,0.715,0.393
6.892,6.892,742,523,67,124,28,0.795,0.949,0.351,0.65,0.393
18.64,18.64,742,420,127,64,131,0.737,0.762,0.665,0.714,0.392
17.59,17.59,742,437,119,72,114,0.749,0.793,0.623,0.708,0.392
17.35,17.35,742,439,118,73,112,0.751,0.797,0.618,0.707,0.392
